Alley	æli 
Avenida	ævənɪdə
Avenida de	ævənɪdə də 
Avenue	ævənuː 
Avenue of	ævənuː ʌv 
Avenue of the	ævənuː ʌvðə 
Calle	kæl 
Calle de	kæl də 
Callejon	kælɛdʒən 
Capitol Road	kæpɪɾəl ɹoʊd 
Circle	sɜːkəl 
Circulo del	sɜːkjʊloʊ dɛl 
Daan	dɑːn 
Daang	dɑːŋ 
Dalan	dælæn 
Drive	dɹaɪv 
Estero de	ɛstɛɹoʊ də 
Footpath	fʊtpæθ 
Highway	haɪweɪ 
Interior	ɪntɪɹiɚ 
Kalye	kælaɪ 
Lane	leɪn 
Muelle de	mjuːəl də 
Muelle de la	mjuːəl də læ 
Muelle del	mjuːəl dɛl 
Muelle	mjuːəl 
North Daang	nɔːɹθ dɑːŋ 
Parkway	pɑːɹkweɪ 
Pasaje Del	pæseɪdʒ dɛl 
Pasaje Dela	pæseɪdʒ dᵻlæ 
Pasaje	pæseɪdʒ 
Paseo	peɪsɪoʊ 
Paseo de	peɪsɪoʊ də 
Paseo de las	peɪsɪoʊ də lɑːs 
Paseo del	peɪsɪoʊ dɛl 
Pasong	pæsɔŋ 
Pathway	pæθweɪ 
Plaza	plɑːzə 
Radial Road	ɹeɪdɪəl ɹoʊd 
Road	ɹoʊd 
Road to	ɹoʊd tuː 
Street	stɹiːt 
Avenue East	ævənuː iːst 
Avenue West	ævənuː wɛst 
Street Extension	stɹiːt ɛkstɛnʃən 
Barangay Road	bæɹɐŋɡeɪ ɹoʊd 
Avenue Extension	ævənuː ɛkstɛnʃən 
Path	pæθ 
Access Road	æksɛs ɹoʊd 
Steps	stɛps 
National Road	næʃənəl ɹoʊd 
Bend	bɛnd 
Boulevard	buːlɪvɑːɹd 
Exit Road	ɛɡzɪt ɹoʊd 
Bridge	bɹɪdʒ 
Bridge 1	bɹɪdʒ wʌn 
Bridge 2	bɹɪdʒ tuː 
Causeway	kɔːzweɪ 
Footway	fʊtweɪ 
Service Road	sɜːvɪs ɹoʊd 
Diversion Road	daɪvɜːʒən ɹoʊd 
Circumferential Road	sɜːkəmfɚɹɛnʃəl ɹoʊd 
Loop	luːp 
Place	pleɪs 
Oval	oʊvəl 
Coastal Street	koʊstəl stɹiːt 
Bridge II	bɹɪdʒ ɹoʊmən tuː 
Trail	tɹeɪl 
Main Road	meɪn ɹoʊd 
Bridge 3	bɹɪdʒ θɹiː 
Flyover	flaɪoʊvɚ 
Road Extension	ɹoʊd ɛkstɛnʃən 
Spur Road	spɜː ɹoʊd 
Bypass Road	baɪpæs ɹoʊd 
Dirt Road	dɜːt ɹoʊd 
Provincial Road	pɹəvɪnʃəl ɹoʊd 
Old Road	oʊld ɹoʊd 
Roads	ɹoʊdz 
Municipal Road	mjuːnɪsɪpəl ɹoʊd 
Bridge I	bɹɪdʒ aɪ 
Coastal Road	koʊstəl ɹoʊd 
Arterial Road	ɑːɹtɪɹiəl ɹoʊd 
Bridge III	bɹɪdʒ ɹoʊmən θɹiː 
Circumferential Rd A	sɜːkəmfɚɹɛnʃəl ɑːɹdiː eɪ 
Circumferential Rd B	sɜːkəmfɚɹɛnʃəl ɑːɹdiː biː 
Diversion Road 1	daɪvɜːʒən ɹoʊd wʌn 
Diversion Road 2	daɪvɜːʒən ɹoʊd tuː 
National Highway	næʃənəl haɪweɪ 
Ferry	fɛɹi 
Alley 1	æli wʌn 
Alley 2	æli tuː 
Alley 3	æli θɹiː 
Drive Extension	dɹaɪv ɛkstɛnʃən 
Street Drive	stɹiːt dɹaɪv 
Calzada	kæltsɑːdə 
Driveway	dɹaɪvweɪ 
Rotunda	ɹɑːtʌndə 
Private Road	pɹaɪvət ɹoʊd 
Road 1	ɹoʊd wʌn 
Road 3	ɹoʊd θɹiː 
Feeder Road	fiːdɚ ɹoʊd 
Main Street	meɪn stɹiːt 
Cloverleaf	kloʊvɚliːf 
Trailway	tɹeɪlweɪ 
Bridge 4	bɹɪdʒ foːɹ 
Link Road	lɪŋk ɹoʊd 
Road 2	ɹoʊd tuː 
Old Route	oʊld ɹaʊt 
Provincial Highway	pɹəvɪnʃəl haɪweɪ 
Underpass	ʌndɚpæs 
Stree	stɹiː 
Gateway	ɡeɪtweɪ 
Square	skwɛɹ 
Alley 4	æli foːɹ 
Road 19	ɹoʊd naɪntiːn 
Road 20	ɹoʊd twɛnti 
Road 21	ɹoʊd twɛnti wʌn 
Road 22	ɹoʊd twɛnti tuː 
Road 23	ɹoʊd twɛnti θɹiː 
Road 24	ɹoʊd twɛnti foːɹ 
Road 25	ɹoʊd twɛnti faɪv 
Road 27	ɹoʊd twɛnti sɛvən 
Road 28	ɹoʊd twɛnti eɪt 
Road 29	ɹoʊd twɛnti naɪn 
Road 30	ɹoʊd θɜːɾi 
Road 31	ɹoʊd θɜːɾi wʌn 
Road 32	ɹoʊd θɜːɾi tuː 
Road 33	ɹoʊd θɜːɾi θɹiː 
Road 34	ɹoʊd θɜːɾi foːɹ 
Road 35	ɹoʊd θɜːɾi faɪv 
Road 36	ɹoʊd θɜːɾi sɪks 
Road 37	ɹoʊd θɜːɾi sɛvən 
Road 38	ɹoʊd θɜːɾi eɪt 
Road 39	ɹoʊd θɜːɾi naɪn 
Road 40	ɹoʊd foːɹɾi 
Road 41	ɹoʊd foːɹɾi wʌn 
Alley 5	æli faɪv 
Alley 6	æli sɪks 
Alley 7	æli sɛvən 
Alley 8	æli eɪt 
Road 11	ɹoʊd ɪlɛvən 
Alley 10	æli tɛn 
Alley 11	æli ɪlɛvən 
Alley 12	æli twɛlv 
Alley 13	æli θɜːtiːn 
Alley 14	æli foːɹtiːn 
Alley 15	æli fɪftiːn 
Alley 9	æli naɪn 
Road 12	ɹoʊd twɛlv 
Road 13	ɹoʊd θɜːtiːn 
Road 14	ɹoʊd foːɹtiːn 
Road 15	ɹoʊd fɪftiːn 
Road 16	ɹoʊd sɪkstiːn 
Road 17	ɹoʊd sɛvəntiːn 
Road 18	ɹoʊd eɪtiːn 
Old Street	oʊld stɹiːt 
Coastal Highway	koʊstəl haɪweɪ 
Farm to Market Road	fɑːɹm tə mɑːɹkɪt ɹoʊd 
Overpass	oʊvɚpæs 
Interchange	ɪntɚtʃeɪndʒ 
Elevated U-Turn (NB)	ɛlɪveɪɾᵻd juːtɜːn ɛnbiː 
Elevated U-Turn (SB)	ɛlɪveɪɾᵻd juːtɜːn ɛsbiː 
Access Lane	æksɛs leɪn 
Vicinal Road	vɪsɪnəl ɹoʊd 
Old National Road	oʊld næʃənəl ɹoʊd 
Roundabout	ɹaʊndɐbaʊt 
Communal Street	kəmjuːnəl stɹiːt 
Communal Road	kəmjuːnəl ɹoʊd 
Road A	ɹoʊd eɪ 
Road B	ɹoʊd biː 
Avenue Service Road	ævənuː sɜːvɪs ɹoʊd 
Transcentral Highway	tɹænsɛntɹəl haɪweɪ 
Expressway	ɛkspɹɛsweɪ 
Barangay Road 2	bæɹɐŋɡeɪ ɹoʊd tuː 
Barangay Road 3	bæɹɐŋɡeɪ ɹoʊd θɹiː 
Curve	kɜːv 
Route	ɹaʊt 
Pitlane	pɪtleɪn 
Raceway	ɹeɪsweɪ 
Speedway	spiːdweɪ 
Line	laɪn 
Stairway	stɛɹweɪ 
Triangle	tɹaɪæŋɡəl 
Compound	kɑːmpaʊnd 
Tunnel	tʌnəl 
Point	pɔɪnt 
Boulevard Extension	buːlɪvɑːɹd ɛkstɛnʃən 
Spillway	spɪlweɪ 
Regional Highway	ɹiːdʒənəl haɪweɪ 
Bridge 5	bɹɪdʒ faɪv 
Lateral Road	læɾɚɹəl ɹoʊd 
Perimeter Road	pɚɹɪmɪɾɚ ɹoʊd 
Way	weɪ 
Street 1	stɹiːt wʌn 
Street 2	stɹiːt tuː 
Service Road 2	sɜːvɪs ɹoʊd tuː 
Road Entry	ɹoʊd ɛntɹi 
Road Exit	ɹoʊd ɛɡzɪt 
Exit	ɛɡzɪt 
Entry	ɛntɹi 
Bypass Bridge	baɪpæs bɹɪdʒ 
Roadway	ɹoʊdweɪ 
Circumferential Rd 3	sɜːkəmfɚɹɛnʃəl ɑːɹdiː θɹiː 
New Route	nuː ɹaʊt 
Circumferential Rd 1	sɜːkəmfɚɹɛnʃəl ɑːɹdiː wʌn 
Radial Bypass Road	ɹeɪdɪəl baɪpæs ɹoʊd 
Tourist Road	tʊɹɹɪst ɹoʊd 
Junction Road	dʒʌŋkʃən ɹoʊd 
Interior Road	ɪntɪɹiɚ ɹoʊd 
Interior Street	ɪntɪɹiɚ stɹiːt 
Municipal Lane	mjuːnɪsɪpəl leɪn 
Shortcut Road	ʃɔːɹtkʌt ɹoʊd 
Court	koːɹt 
Footbridge	fʊtbɹɪdʒ 
Interior 1	ɪntɪɹiɚ wʌn 
Interior 2	ɪntɪɹiɚ tuː 
Inter-Connecting Rd	ɪntɚkənɛktɪŋ ɑːɹdiː 
Secondary Road	sɛkəndɚɹi ɹoʊd 
Wharf	wɔːɹf 
Walk	wɔːk 
Drive-Thru	dɹaɪvθɹuː 
Skyway	skaɪweɪ 
Access Street	æksɛs stɹiːt 
Access Ramp	æksɛs ɹæmp 
Ramp	ɹæmp 
Link	lɪŋk 
Road Link	ɹoʊd lɪŋk 
Avenue Exit	ævənuː ɛɡzɪt 
Bridgeway	bɹɪdʒweɪ 
Track	tɹæk 
Maria	mɚɹiːə 
Daanan	dɑːnən 
Walkway	wɔːkweɪ 
Inter-Provincial Rd	ɪntɚpɹəvɪnʃəl ɑːɹdiː 
Old Barangay Road	oʊld bæɹɐŋɡeɪ ɹoʊd 
Diversion Bridge I	daɪvɜːʒən bɹɪdʒ aɪ 
Diversion Bridge II	daɪvɜːʒən bɹɪdʒ ɹoʊmən tuː 
Diversion Bridge III	daɪvɜːʒən bɹɪdʒ ɹoʊmən θɹiː 
Pathwalk	pæθwɔːk 
Inner Road	ɪnɚ ɹoʊd 
Regional Highway 20	ɹiːdʒənəl haɪweɪ twɛnti
Highway 5	haɪweɪ faɪv 
Row	ɹoʊ 
Flyover 1	flaɪoʊvɚ wʌn 
Flyover 2	flaɪoʊvɚ tuː 
New Road	nuː ɹoʊd 
Coastal Loop	koʊstəl luːp 
Superhighway	suːpɚhaɪweɪ 
Circumferential Rd 2	sɜːkəmfɚɹɛnʃəl ɑːɹdiː tuː 
Street 3	stɹiːt θɹiː 
Street 4	stɹiːt foːɹ 
Quadrangle	kwɑːdɹæŋɡəl 
Creek	kɹiːk 
Baywalk	beɪwɔːk 
Circle Extension	sɜːkəl ɛkstɛnʃən 
Main Loop	meɪn luːp 
Feeder Street	fiːdɚ stɹiːt 
Arterial Highway	ɑːɹtɪɹiəl haɪweɪ 
Alternate Road	ɔːltɜːnət ɹoʊd 
Vicinal Street	vɪsɪnəl stɹiːt 
Municipal Street	mjuːnɪsɪpəl stɹiːt 
Avenue II	ævənuː ɹoʊmən tuː 
Extension	ɛkstɛnʃən 
Road 4	ɹoʊd foːɹ 
Road 5	ɹoʊd faɪv 
Road 6	ɹoʊd sɪks 
Road 7	ɹoʊd sɛvən 
Road 8	ɹoʊd eɪt 
Road 9	ɹoʊd naɪn 
Road II	ɹoʊd ɹoʊmən tuː 
